province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,year
Punjab,Attock,Attock-II,496142,266,165266,150821,316087,NA-58,70743,Ch Pervaiz Ellahi,PML,PML-Q,2008
Punjab,Mianwali,Mianwali-II,638480,291,168959,138835,307794,NA-72,49294,Humair Hayat Rokhari,IND,IND,2008
Punjab,Rawalpindi,Rawalpindi-VI,570886,250,180922,152097,333019,NA-55,76980,Makhdoom Muhammad Javed Hashmi,PMLN,PMLN,2008
Punjab,Lahore,Lahore-I,556480,244,206869,54716,261585,NA-118,55900,Muhammad Riaz,PMLN,PMLN,2008
Punjab,Attock,Attock-I,531585,236,157917,120004,277921,NA-57,38755,Sheikh Aftab Ahmad,PMLN,PMLN,2008
Punjab,Mandi Bhauddin,Mandi Bahauddin-II,653319,228,180921,128920,309841,NA-109,74163,Nazar Muhammad Gondal,PPP,PPP,2008
Punjab,Sargodha,Sargodha-I,633546,334,234881,194185,429066,NA-64,65628,Nadeem Afzal Gondal,PPP,PPP,2008
Punjab,Faisalabad,Faisalabad-X,547513,243,138255,109894,248149,NA-84,59616,Abid Ali,PMLN,PMLN,2008
Punjab,Multan,Multan-VI,613220,235,189346,160290,349636,NA-153,69246,Dewan Ashiq Hussain Bukhari,PML,PML-Q,2008
Punjab,Kasur,Kasur-IV,557751,259,135366,608518,743884,NA-141,58807,Rana Muhammad Ishaq Khan,PMLN,PMLN,2008
Punjab,Gujrat,Gujrat-IV,608426,255,167451,154936,322387,NA-107,75205,Muhammad Jamil Malik,PMLN,PMLN,2008
Punjab,Sargodha,Sargodha-V,627659,308,208595,174456,383051,NA-68,80174,Syed Javed Hassnain Shah,PMLN,PMLN,2008
Punjab,Hafizabad,Hafizabad-I,492716,218,112492,85597,198089,NA-102,56313,Saira Afzal Tarar,PMLN,PMLN,2008
Punjab,Sialkot,Sialkot-I,578955.78,227,144213,130334,274547,NA-110,73007,Khawaja Muhammad Asif,PMLN,PMLN,2008
Punjab,Rajanpur,Rajanpur-II,652057,224,174640,110401,285041,NA-175,78427,Meer Dost Muhammad Mazari,PPP,PPP,2008
Punjab,Gujranwala,Gujranwala-V,578545,231,190106,591934,782040,NA-99,60219,Rana Nazir Ahmad Khan,PMLN,PMLN,2008
Punjab,Mianwali,Mianwali-I,597766,282,180267,148960,329227,NA-71,83098,Nawabzada Malik Amad Khan,IND,IND,2008
Punjab,Sahiwal,Sahiwal-III,547710,281,134868,109098,243966,NA-162,70634,Ch Zahid Iqbal,PPP,PPP,2008
Punjab,Rawalpindi,Rawalpindi –V,543273,201,143658,127834,271492,NA-54,58228,Malik Abrar Ahmad,PMLN,PMLN,2008
Punjab,Attock,Attock-III,463947,253,142401,120576,262977,NA-59,71400,Sardar Saleem Haider Khan,PPP,PPP,2008
Punjab,Muzaffargarh,Muzaffargarh-I,621469,241,159880,109543,269423,NA-176,50826,Muhammad Mohsin Ali Qureshi,PPP,PPP,2008
Punjab,Lahore,Lahore-XII,471077,192,124869,81390,206259,NA-129,36604,Tariq Shabbir Advocate,PPP,PPP,2008
Punjab,Muzaffargarh,Muzaffargarh-III,618171,252,163900,120486,284386,NA-178,57946,Jamshed Ahmad Khan Dasti,PPP,PPP,2008
Punjab,Lahore,Lahore-IX,626761,267,195856,163086,358942,NA-126,69718,Omer Sohail Zia Butt,PMLN,PMLN,2008
Punjab,Pakpattan,Pakpattan-III,508205,225,120588,100070,220658,NA-166,66418,Rana Zahid Hussain Khan,PMLN,PMLN,2008
Punjab,Layyah,Layyah-II,691519,262,163309,130790,294099,NA-182,75910,Syed Muhammad Saqlain Bukhari,PMLN,PMLN,2008
Punjab,Chakwal,Chakwal-II,608793,363,205314,193830,399144,NA-61,92201,Muhammad Faiz Tamman,PMLN,PMLN,2008
Punjab,Rahimyar Khan,Rahimyar Khan-VI,633299,219,200691,151399,352090,NA-197,82565,Sardar Muhammad Arshad Khan Laghari,PMLN,PMLN,2008
Punjab,Bhakkar,Bhakkar-I,592633,256,147165,119183,266348,NA-73,83850,Abdul Majeed Khan Khanan Khel,IND,IND,2008
Punjab,Sialkot,Sialkot-V,670887.36,292,167148,136937,304085,NA-114,62362,Zahid Hamid,PMLN,PMLN,2008
Punjab,Gujrat,Gujrat-III,612926,259,172496,148582,321078,NA-106,89555,Qamar Zaman Kaira,PPP,PPP,2008
Punjab,Narowal,Narowal-II,509871.96,222,123038,101911,224949,NA-116,45097,Ch. Muhammd Tariq Anis,IND,IND,2008
Punjab,Dera Ghazi Khan,Dera Ghazi Khan-II,621602,260,218829,172242,391071,NA-172,45370,Farooq Ahmed Khan Leghari,PML,PML-Q,2008
Punjab,Muzaffargarh,Muzaffargarh-II,618638,240,146661,108036,254697,NA-177,84916,Hina Rabbani Khar,PPP,PPP,2008
Punjab,Narowal,Narowal-I,483845.31,199,113254,89768,203022,NA-115,59688,Sumaira Yasir Rasheed,PMLN,PMLN,2008
Punjab,Khanewal,Khanewal-II,622031,272,147683,=R471-P471,268515,NA-157,58819,Hamid Yar Hiraj,PML,PML-Q,2008
Punjab,Lahore,Lahore-V,624720,283,170837,159539,330376,NA-122,79506,Sardar Ayaz Sadiq,PMLN,PMLN,2008
Punjab,Sahiwal,Sahiwal-IV,521215,527,122000,97389,219389,NA-163,39864,Malik Nauman Ahmed Langriyal,PML,PML-Q,2008
Punjab,Rawalpindi,Rawalpindi-I,573168,391,214477,188481,402958,NA-50,99988,Shahid Khaqan Abbassi,PMLN,PMLN,2008
Punjab,Sialkot,Sialkot-IV,648155.43,266,163399,129020,292419,NA-113,77819,Sahabzada Syed Murtaza Amin,PMLN,PMLN,2008
Punjab,Faisalabad,Faisalabad-IV,596199,312,147082,124169,271251,NA-78,79127,Raheela Perveen,PPP,PPP,2008
Punjab,Dera Ghazi Khan,Dera Ghazi Khan-I,632159,320,216896,165275,382171,NA-171,39628,Khawja Sheeraz Mehmood,PML,PML-Q,2008
Punjab,Faisalabad,Faisalabad-VIII,601405,246,162122,125064,287186,NA-82,62889,Sahibzada Haji Muhammad,PMLN,PMLN,2008
Punjab,Gujrat,Gujrat-I,583041,252,160597,140100,300697,NA-104,96379,Chaudhary Wajahat Hussain,PML,PML-Q,2008
Punjab,Jhelum,Jhelum-I,538420,290,193227,179666,372893,NA-62,92479,Raja Muhammad Safdar,PMLN,PMLN,2008
Punjab,Bahawal Nagar,Bahawalnagar-II,602715,226,178939,144000,322939,NA-189,49678,Syed Mumtaz Alam Gillani,PPP,PPP,2008
Punjab,Narowal,Narowal-III,486446,200,121957,90451,212408,NA-117,66633,Ahsan Iqbal,PMLN,PMLN,2008
Punjab,Lahore,Lahore-VI,577912,268,167249,120389,287638,NA-123,67707,Makhdoom Muhammad Javed Hashmi,PMLN,PMLN,2008
Punjab,Khanewal,Khanewal-IV,604720,263,140886,112731,253617,NA-159,78255,Ch. Iftikhar Nazir,PPP,PPP,2008
Punjab,Bahawal Nagar,Bahawalnagar-IV,614362,255,198474,164195,362669,NA-191,83903,Muhammad Afzal Sindhu,PPP,PPP,2008
Punjab,Kasur,Kasur-V,555112,229,129347,98716,228063,NA-142,47192,Sardar Talib Hassan Nakai,PML,PML-Q,2008
Punjab,Jhang,Jhang-I,549106.74,255,170563,135931,306494,NA-86,57583,Syed Anayat Ali Shah,PPP,PPP,2008
Punjab,Multan,Multan-V,589121,213,181983,154876,336859,NA-152,47880,Liaqat Ali Khan,PPP,PPP,2008
Punjab,Bahawalpur,Bahawalpur-V,510989,228,176387,140720,317107,NA-187,77860,Ch. Saud Majeed,PMLN,PMLN,2008
Punjab,Bahawalpur,Bahawalpur-IV,587840,240,188325,155469,343794,NA-186,66757,Mian Riaz Hussain Pirzada,PML,PML-Q,2008
Punjab,Khanewal,Khanewal-I,599985,278,136964,108168,245132,NA-156,71381,Muhammad Raza Hayat Hiraj,PML,PML-Q,2008
Punjab,Vehari,Vehari-II,605523,239,172333,139886,312219,NA-168,49299,Azeem Daultana,PPP,PPP,2008
Punjab,Jhang,Jhang-V,488235,220,149538,124335,273873,NA-90,64759,Saima Akhtar Bharwana,IND,IND,2008
Punjab,Rawalpindi,Rawalpindi-IV,566505,289,181793,162028,343821,NA-53,72257,Ch. Nisar Ali Khan,PMLN,PMLN,2008
Punjab,Faisalabad,Faisalabad-V,595105,293,154165,121600,275765,NA-79,58563,Rana Muhammad Farooq Saeed Khan,IND,IND,2008
Punjab,Lahore,Lahore-III,534643,209,147270,121444,268714,NA-120,65946,Mr. Bilal Yasin,PMLN,PMLN,2008
Punjab,Multan,Multan-II,629262,295,230468,196991,427459,NA-149,70864,Makhdoom Muhammad Javed Hashmi,PMLN,PMLN,2008
Punjab,Multan,Multan-III,632284,257,219030,180666,399696,NA-150,57774,Rana Mahmood-ul-Hassan,PMLN,PMLN,2008
Punjab,Rahimyar Khan,Rahimyar Khan-III,620926,281,192717,164062,356779,NA-194,59710,Makhdoom Shahab-ud-Din,PPP,PPP,2008
Punjab,Rahimyar Khan,Rahimyar Khan-II,533968,256,225776,190348,416124,NA-193,58572,Mian Abdul Sattar,PPP,PPP,2008
Punjab,Rahimyar Khan,Rahimyar Khan-I,685759,297,217011,188528,405539,NA-192,65395,Syed Hamid Saeed Kazmi,PPP,PPP,2008
Punjab,Lahore,Lahore-III,605588.49,294,159732,137092,296824,NA-119,1,Mr. Muhammad Hamza Shahbaz Sharif,PMLN,PMLN,2008
Punjab,Faisalabad,Faisalabad-XI,599779,262,158057,128079,286136,NA-85,72197,Haji Muhammad Akram Ansari,PMLN,PMLN,2008
Punjab,Bahawalpur,Bahawalpur-II,569857,226,173695,149006,322701,NA-184,59277,Malik Aamir Yar Warn,IND,IND,2008
Punjab,Lahore,Lahore-VII,547285,265,150016,125572,275588,NA-124,71342,Sheikh Rohale Asghar,PMLN,PMLN,2008
Punjab,Vehari,Vehari-III,608246,229,177266,143830,321096,NA-169,48999,Tehmina Daultana,PMLN,PMLN,2008
Punjab,Gujranwala,Gujranwala-I,547103.7,205,185206,145176,330382,NA-95,51705,Usman Ibrahim,PMLN,PMLN,2008
Punjab,Sargodha,Sargodha-IV,620438,299,199431,171943,371374,NA-67,83594,Ch Anwar Ali Cheema,PML,PML-Q,2008
Punjab,Kasur,Kasur-III,564015,249,129602,100636,230238,NA-140,41626,Sardar Asif Ahmad Ali,PPP,PPP,2008
Punjab,Vehari,Vehari-IV,617917,313,178353,150216,328569,NA-170,87124,Mehmood Hayat Khan alias Tochi Khan,PPP,PPP,2008
Punjab,Rawalpindi,Rawalpindi-VII,535269,223,168864,144452,313316,NA-56,73433,Muhammad Hanif Abbasi,PMLN,PMLN,2008
Punjab,Jhang,Jhang-III,659949,306,203090,168179,371269,NA-88,72162,Makhdoom Syed Faisal Saleh Hayat,PML,PML-Q,2008
Punjab,Toba Tek Singh,Toba Tek Singh-III,669551,355,171186,143814,315000,NA-94,63444,Riaz Fatyana,PML,PML-Q,2008
Punjab,Multan,Multan-IV,594163,233,196792,156965,353757,NA-151,77664,Syed Yousaf Raza Gillani,PPP,PPP,2008
Punjab,Rawalpindi,Rawalpindi -II,577992,175,88395,86724,175119,NA-51,80247,Raja Pervaiz Ashraf,PPP,PPP,2008
Punjab,Gujrat,Gujrat-II,591777,239,178714,152387,331101,NA-105,79735,Ch. Ahmed Mukhtar,PPP,PPP,2008
Punjab,Sheikhupura,Sheikhupura-I,568360,215,121706,=R393-P393,217332,NA-131,50638,Rana Tanveer Hussain,PMLN,PMLN,2008
Punjab,Pakpattan,Pakpattan-I,484155,210,111754,89694,201448,NA-164,35597,Sardar Mansab Ali Doggar,PMLN,PMLN,2008
Punjab,Lodhran,Lodhran-II,689315,312,156868,116538,273406,NA-155,50490,Hayat Ullah Khan Tareen,PPP,PPP,2008
Punjab,Chakwal,Chakwal-I,659165,373,219679,211891,431570,NA-60,125437,Ayaz Amir,PMLN,PMLN,2008
Punjab,Dera Ghazi Khan,Dera Ghazi Khan-III,668687,240,189215,142457,331672,NA-173,56475,Sardar Muhammad Saif-Ud-Din Khan,PMLN,PMLN,2008
Punjab,Faisalabad,Faisalabad-IX,601670,264,176192,135474,311666,NA-83,56910,Muhammad Ijaz Virk Advocate,PPP,PPP,2008
Punjab,Khanewal,Khanewal-III,593397,244,145111,118051,263162,NA-158,57777,Pir Aslam Bodla,PML,PML-Q,2008
Punjab,Nankana Sahib,Nanka Sahib-I (Old Sheikhupura-V),564065,214,129045,98092,227137,NA-135,46739,Choudhary Muhammad Barjees Tahir,PMLN,PMLN,2008
Punjab,Lahore,Lahore-XI,527387,238,152345,119842,272187,NA-128,65727,Malik Muhammad Afzal Khokhar,PMLN,PMLN,2008
Punjab,Gujranwala,Gujranwala-VII,595512,260,202455,174549,377004,NA-101,71792,Justice (R) Iftikhar Ahmad Cheema,PMLN,PMLN,2008
Punjab,Sargodha,Sargodha-II,598251,275,196176,155523,351699,NA-65,53518,Ch Ghais Ahmed Mela,PML,PML-Q,2008
Punjab,Muzaffargarh,Muzaffargarh-IV,637873,226,153959,111837,265796,NA-179,79643,Muhammad Moazam Ali Khan Jatoi,PPP,PPP,2008
Punjab,Mandi Bhauddin,Mandi Bhauddin,704527,218,191339,150215,341554,NA-108,73951,Muhammad Tariq Tarar,PPP,PPP,2008
Punjab,Pakpattan,Pakpattan-II,513056,223,122907,103694,226601,NA-165,67400,Syed Muhammad Salman Mohsin Gillani,PMLN,PMLN,2008
Punjab,Toba Tek Singh,Toba Tek Singh-II,605467,310,158583,129992,288575,NA-93,84061,Muhammad Junaid Anwar Chaudhary,PMLN,PMLN,2008
Punjab,Bahawal Nagar,Bahawalnagar-I,590935,240,146826,121068,267894,NA-188,52981,Muhammad Akhtar Khadim Alias Khadim Hussain,PML,PML-Q,2008
Punjab,Kasur,Kasur-II,549770,239,136793,103106,239899,NA-139,51436,Waseem Akhtar Sheikh,PMLN,PMLN,2008
Sindh,Tando Muhammad Khan,Tando Muhammad Khan-Hyderabad-Badin (Old Hyderabad-V),621561,230,176764,142343,319107,NA-222,84041,Syed Naveed Qamar,PPP,PPP,2008
Sindh,Hyderabad,Hyderabad-I (Old Hyderabad-II),552179,227,191902,157371,349273,NA-219,168136,Syed Tayyab Hussain,MQM,MQM,2008
Sindh,Karachi,Karachi-XVIII,614110.77,190,202583,169249,371832,NA-256,123491,Iqbal Muhammad Ali Khan,MQM,MQM,2008
Punjab,Multan,Multan-I,588664,219,210693,169186,379879,NA-148,83184,Makhdoom Shah Mehmood Qureshi,PPP,PPP,2008
Punjab,Okara,Okara-V,538167,231,166852,157113,323965,NA-147,84778,Mian Manzoor Ahmad Khan Wattoo,IND,IND,2008
Punjab,Bhakkar,Bhakkar-II,637570,276,319786,255030,574816,NA-74,98366,Rasheed Akbar Khan,IND,IND,2008
Punjab,Sheikhupura and Nankana Sahib,Sheikhupura/ Nankana Sahib-II (Old Sheikhupura-IV),534394,205,120061,88670,208731,NA-134,47925,Sardar Muhammad Irfan Dogar,PMLN,PMLN,2008
Punjab,Sialkot,Sialkot-II,645486.66,249,167860,139592,307452,NA-111,78925,Dr. Firdous Ashiq Awan,PPP,PPP,2008
Punjab,Layyah,Layyah-I,619994,220,155402,108215,263617,NA-181,58797,Sardar Bahadar Ahmad Khan Seehar,PML,PML-Q,2008
Punjab,Rajanpur,Rajanpur-I,639176,220,181259,110624,291883,NA-174,50440,Sardar Muhammad Jafar Khan Leghari,PML,PML-Q,2008
Punjab,Rahimyar Khan,Rahimyar Khan-V,596341,231,194622,158265,352887,NA-196,52090,Javed Iqbal Warraich,PPP,PPP,2008
Punjab,Okara,Okara-I,516615,219,150073,128487,278560,NA-143,63960,Capt.(Rtd) Rai Ghulam Mujtaba Kharral,PPP,PPP,2008
Punjab,Okara,Okara-III,502348,218,156710,130531,287241,NA-145,64607,Syed Sumsan Ali Shah Bukhari,PPP,PPP,2008
Punjab,Sialkot,Sialkot-III,642987.54,278,156194,127978,284172,NA-112,92182,Rana Abdul Sattar,PMLN,PMLN,2008
Punjab,Lodhran,Lodhran-I,681691,300,152536,108159,260695,NA-154,81983,Muhammad Saddique Khan Baloch,PML,PML-Q,2008
Punjab,Faisalabad,Faisalabad-III,533360,277,134118,108655,242773,NA-77,63776,Muhammad Asim Nazir,PML,PML-Q,2008
Punjab,Faisalabad,Faisalabad-VII,572713,250,144776,108196,252972,NA-81,65322,Saeed Iqbal,PPP,PPP,2008
Punjab,Gujranwala,Gujranwala-VI,569685,226,176178,151813,327991,NA-100,57320,Haji Mudassar Qayyum Nahra,IND,IND,2008
Punjab,Sahiwal,Sahiwal-I,541105,284,134875,114958,249833,NA-160,59373,Syed Imran Ahmed Shah,PMLN,PMLN,2008
Punjab,Sahiwal,Sahiwal-II,546507,285,131456,106331,237787,NA-161,38962,Ghulam Farid Kathia,PPP,PPP,2008
Punjab,Jhang,Jhang-II,542403,262,167951,139940,307891,NA-87,63515,Ghulam Bibi Bharwana,PML,PML-Q,2008
Punjab,Kasur,Kasur-I,553126,233,133778,97181,230959,NA-138,58832,Rao Mazhar Hayyat Khan,PMLN,PMLN,2008
Punjab,Nankana Sahib,Nankana Sahib-II (Old Sheikhupura-VII),563754,257,130007,102943,232950,NA-137,54732,Saeed Ahmed Zafar,IND,IND,2008
Punjab,Jhang,Jhang-IV,501099,218,166782,141541,308323,NA-89,51976,Sheikh Waqas Akram,PML,PML-Q,2008
Punjab,Okara,Okara-IV,535371,215,165778,146288,312066,NA-146,46941,Mian Manzoor Ahmad Khan Wattoo,IND,IND,2008
Punjab,Lahore,Lahore-VIII,661929,242,171654,141480,313134,NA-125,70752,Khawaja Saad Rafique,PMLN,PMLN,2008
Punjab,Okara,Okara-II,520100,200,165605,137363,302968,NA-144,77795,Sajjad Ul Hassan,IND,IND,2008
Punjab,Bahawalpur,Bahawalpur-III,617000,219,198488,166452,364940,NA-185,54334,Muhammad Baleegh-ur-Rehman,PMLN,PMLN,2008
Punjab,Sargodha,Sargodha-III,639301,298,225243,184457,409700,NA-66,69943,Tasneem Ahmed Qureshi,PPP,PPP,2008
Punjab,Gujranwala,Gujranwala-II,537966,206,189271,155801,345072,NA-96,61972,Engineer Khuram Dastgir Khan,PMLN,PMLN,2008
Punjab,Gujranwala,Gujranwala-IV,575966,235,202907,166578,369485,NA-98,68509,Imtiaz Safdar Warraich,PPP,PPP,2008
Punjab,Bahawalpur,Bahawalpur-I,561031,231,170950,150209,321159,NA-183,71394,Aarif Aziz Sheikh,PPP,PPP,2008
Punjab,Muzaffargarh,Muzaffargarh-V,587856,238,148645,108846,257491,NA-180,68270,Abdul Qayyum Khan Jatoi,PPP,PPP,2008
Punjab,Rahimyar Khan,Rahimyar Khan-IV,604739,210,186970,140169,327139,NA-195,84577,Jahangir Khan Tareen,PML-F,PML-F,2008
Punjab,Faisalabad,Faisalabad-I,571245,271,149324,116038,265362,NA-75,83699,Tariq Mehmood Bajwa,PPP,PPP,2008
Punjab,Jhelum,Jhelum-II,557820,277,198146,179377,377523,NA-63,79662,Raja Muhammad Asad Khan,PMLN,PMLN,2008
Punjab,Lahore,Lahore-X,551866,216,157129,122500,279629,NA-127,53602,Chaudhry Naseer Ahmed Bhutta,PMLN,PMLN,2008
Punjab,Faisalabad,Faisalabad-II,569708,278,143010,112427,255437,NA-76,43294,Malik Nawab Sher Waseer,PPP,PPP,2008
Punjab,Bahawal Nagar,Bahawalnagar-III,603880,237,173544,143096,316640,NA-190,77664,Abdul Ghafoor Chaudhary,PPP,PPP,2008
Punjab,Hafizabad,Hafizabad-II,481870,220,112221,84922,197143,NA-103,56791,Ch Liaqat Abbas Bhatti,PML,PML-Q,2008
Punjab,Rawalpindi,Rawalpindi-III,568683,312,199265,176716,375981,NA-52,97747,Ch. Nisar Ali Khan,PMLN,PMLN,2008
Punjab,Nankana Sahib and Shiekhupura,Nankana Sahib/ Sheikhupura (Old Sheikhupura-VI),569018,233,124471,93151,217622,NA-136,49681,Ch Bilal Ahmed Virk,PMLN,PMLN,2008
Punjab,Lahore,Lahore-XIII,512040,229,129544,96702,226246,NA-130,44692,Samina Khalid Ghurki,PPP,PPP,2008
Punjab,Sheikhupura,Sheikhupura-II (Old Sheikhupura-III),530947,198,135538,99282,234820,NA-133,44786,Mian Javed Latif,PMLN,PMLN,2008
Punjab,Vehari,Vehari-I,614101,288,202061,162892,364953,NA-167,65250,Ch. Nazir Ahmed Jatt,PML,PML-Q,2008
Punjab,Jhang,Jhang-VI,575199,249,174959,145770,320729,NA-91,75803,Muhammad Mehboob Sultan,PML,PML-Q,2008
Punjab,Khushab,Khushab-II,531329,256,150195,130870,281065,NA-70,66361,Malik Shakir Bashir Awan,PMLN,PMLN,2008
Punjab,Faisalabad,Faisalabad-VI,563872,252,146113,112806,258919,NA-80,56724,Rana Asif Tauseef,PML,PML-Q,2008
Punjab,Lahore,Lahore-IV,595243,264,171828,132222,304050,NA-121,72227,Mian Margoob Ahmad,PMLN,PMLN,2008
Punjab,Sheikhupura and Nankana Sahib,Sheikhupura/Nankana Sahib-I (Old Sheikhupura-II),555066,227,126358,96037,222395,NA-132,48193,Rana Tanveer Hussain,PMLN,PMLN,2008
Punjab,Khushab,Khushab-I,528353,281,126254,115945,242199,NA-69,61076,Sumaira Malik,PML,PML-Q,2008
Punjab,Gujranwala,Gujranwala-III,574321.41,214,194097,149123,343220,NA-97,48701,Ch. Mehmood Bashir Virk,PMLN,PMLN,2008
Punjab,Toba Tek Singh,Toba Tek Singh-I,622246,335,155925,130837,286762,NA-92,69827,Farkhanda Amjad Warraich,PML,PML-Q,2008
Sindh,Kashmore,Kashmore (Old Jacobabad-III),565917,218,168411,130475,298886,NA-210,56515,Nasrullah Khan Bijarani,PML,PML-Q,2008
Sindh,Karachi,Karachi-XX,553293,219,246889,172507,419396,NA-258,134696,Sher Muhammad Balcoh,PPP,PPP,2008
Sindh,Umerkot,Umerkot (Old Mirpurkhas-III),597110.67,212,155894,121390,277284,NA-228,75080,Nawab Muhammad Yousuf Talpur,PPP,PPP,2008
Sindh,Shikarpur,Shikarpur (Old Shikarpur-I),543084,189,154119,121099,275218,NA-202,47379,Aftab Shahban Mirani,PPP,PPP,2008
Sindh,Karachi,Karachi-XIV,539036.55,142,148071,123391,271462,NA-252,87280,Abdul Rasheed Godil,MQM,MQM,2008
Sindh,Jamshoro,Jamshoro (Old Dadu-I),681050,305,270850,219899,490749,NA-231,138320,Nawab Abdul Ghani Talpur,PPP,PPP,2008
Sindh,Karachi,Karachi-XIII,557977.68,142,193216,142717,335933,NA-251,83537,Waseem Akhter,MQM,MQM,2008
Sindh,Tharparkar,Tharparkar-I,538621,220,150050,108468,258518,NA-229,135697,Arbab Zakaullah,PML,PML-Q,2008
Sindh,Tando Allahyar,Tando Allahyar/Matiari (Old Hyderabad-VI),577425,242,154267,122570,276837,NA-223,84669,Shamshad Sattar Bachani,PPP,PPP,2008
Sindh,Naushahro Feroze,Naushahro Feroze-I,621042,287,179535,202001,381536,NA-211,109319,Ghulam Murtaza Khan Jatoi,NPP,NPP,2008
NWFP,Dera Ismail Khan,D.I.Khan,642173,268,205428,141942,347370,NA-24,83560,Faisal Karim Kundi,PPP,PPP,2008
FATA,Fronteir Regions,Tribal Area-XII,275047.11,135,83984,47702,131686,NA-47,21426,Zafar Baig Bhatani,IND,IND,2008
