province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,year
Sindh,Karachi,Karachi-XI,574505.1,147,215047,172685,387732,NA-249,103846,Dr. Muhammad Farooq Sattar,MQM,MQM,2008
Sindh,Karachi,Karachi-VII,573593.67,187,183739,158753,342492,NA-245,149157,Farhat Muhammad Khan,MQM,MQM,2008
Sindh,"Shikarpur, Sukkur and Larkana",Shikarpur/Sukkur/Larkana (Old Shikarpur-II),487029,175,124495,109342,233837,NA-203,89921,Ghous Bux Khan Mahar,PML,PML-Q,2008
Sindh,Mirpurkhas,Mirpurkhas/Umerkot(II) (Old Mirpurkhas-II),615934.8,211,184754,146489,331243,NA-227,82697,Mir Munawar Ali Talpur,PPP,PPP,2008
Sindh,Tharparkar,Tharparkar-II.,531099,221,128559,109988,238547,NA-230,109580,Dr. Ghulam Hyder Samejo,PML,PML-Q,2008
Sindh,Karachi,Karachi-XVI,632470.41,154,183793,125500,309293,NA-254,132648,Dr. Muhammad Ayoub Shaikh,MQM,MQM,2008
Sindh,Khairpur,Khairpur-I,604449,270,190152,169918,360070,NA-215,98782,Nawab Ali Wassan,PPP,PPP,2008
Sindh,Karachi,Karachi-IX,546804.18,154,165951,137272,303223,NA-247,168007,Dr.Nadeem Ehsan,MQM,MQM,2008
Sindh,Karachi,Karachi-XVII,603153.72,156,190225,141495,331720,NA-255,157971,Syed Asif Hasnain,MQM,MQM,2008
Sindh,Kambar Shahdadkot,Kamber Shahdadkot (Old Larkana III),552012,161,95714,54086,149800,NA-206,49524,Nawabzada Mir Amir Ali Khan Magsi,PPP,PPP,2008
Sindh,Karachi,Karachi-X,578122.74,132,197065,147695,344760,NA-248,84217,Nabeel Ahmed Gabol,PPP,PPP,2008
Sindh,Sanghar,Sanghar/Mirpurkhas/Umerkot (Old Sanghar-II),488213,197,114088,86001,200089,NA-235,68122,Ghulam Dastgir Rajar,PML-F,PML-F,2008
NWFP,Karak,Karak,504031,200,154861,136885,291746,NA-15,28665,Mufti Ajmal Khan,MMA,MMA,2008
Sindh,Karachi,Karachi-XV,583846.38,204,247795,177628,425423,NA-253,96973,Syed Haider Abbas Rizvi,MQM,MQM,2008
NWFP,Chitral,Chitral,372866,206,111082,92330,203412,NA-32,33278,Shahzada Muhyuddin,PML,PML-Q,2008
Sindh,Matiari,Matiari/Hyderabad (Old Hyderabad-I),578265,263,140745,108718,249463,NA-218,97717,Mr. Makhdoom Muhammad Ameen,PPP,PPP,2008
Sindh,Sanghar,Sanghar-II (Old Sanghar-III),668533.32,231,159771,125044,284815,NA-236,90311,Roshan Din junejo,PPP,PPP,2008
Sindh,Karachi,Karachi-XIX,589579.38,198,228246,157345,385591,NA-257,134498,Sajid Ahmed,MQM,MQM,2008
NWFP,Swat,Swat-II,692043,293,235887,167623,403510,NA-30,24063,Syed Allauddin,PPP,PPP,2008
Sindh,Jacobabad and Kashmore,Jacobabad/Kashmore (Old Jacobabad-II).,580504,187,152604,134368,286972,NA-209,111578,Mir Hazar Khan Bijarani,PPP,PPP,2008
NWFP,Bannu,Bannu,790530,274,236928,147416,384344,NA-26,91484,Maulana Fazal Ur Rehman,MMA,MMA,2008
Sindh,Karachi,Karachi-VIII,578382.48,203,165012,145732,310744,NA-246,186933,Sufyan Yousuf,MQM,MQM,2008
Sindh,Karachi,Karachi-XII,576687.15,141,192580,132099,324679,NA-250,52045,Khushbakht Shujat,MQM,MQM,2008
Sindh,Ghotki,Ghotki-II,587114,254,157334,124754,282088,NA-201,74714,Ali Mohammad Khan Mahar,IND,IND,2008
Sindh,Ghotki,Ghotki-I,548428,260,168422,138889,307311,NA-200,59022,Mian Abdul Haq Alias Mian Mitho,PPP,PPP,2008
Sindh,Jacobabad,Jacobabad (Old Jacobabad-I),521498,226,145070,128746,273816,NA-208,52813,Mir Aijaz Hussain Jakhrani,PPP,PPP,2008
Sindh,Khairpur,Khairpur-II,602418,260,196629,182515,379144,NA-216,97347,Pir Syed Saddaruddin Shah Rashdi,PML-F,PML-F,2008
Sindh,Karachi,Karachi-VI,539884.8,172,157043,136138,293181,NA-244,174044,Shaikh Salahuddin,MQM,MQM,2008
Sindh,Badin and Tando Muhammad Khan,Badin/Tando Muhammad Khan-I (Old Badin-I),591543,314,186068,140620,326688,NA-224,87102,Ghulam Ali Nizamani,PPP,PPP,2008
Sindh,Dadu,Dadu-I (Old Dadu-II),626365,256,210503,180986,391489,NA-232,87467,Rafique Ahmed Jamali,PPP,PPP,2008
FATA,South Waziristan,Tribal Area-VI,261495,80,64460,29864,94324,NA-41,7957,Moulana Abdul Malik Wazir,IND,IND,2008
Sindh,Karachi,Karachi-II,556097.49,174,175663,105848,281511,NA-240,67799,Khawaja Sohail Mansoor,MQM,MQM,2008
FATA,Khyber Agency,Tribal Area-XI,334835.28,77,83393,10058,93451,NA-46,5660,Hameed Ullah Jan Afridi,IND,IND,2008
Sindh,Thatta,Thatta-I,683024.94,314,247546,184186,431732,NA-237,85138,Dr. Abdul Wahid Soomro,PPP,PPP,2008
Sindh,Nawabshah,Nawabshah-II,604489,312,150814,133098,283912,NA-214,81194,Syed Ghulam Mustafa Shah,PPP,PPP,2008
Sindh,Karachi,Karachi-V,583753.95,281,194549,131177,325726,NA-243,167764,Abdul Waseem,MQM,MQM,2008
Sindh,Sanghar,Sanghar-I,543297,201,132443,100083,232526,NA-234,71394,Muhammad Jadam Mangrio,PML-F,PML-F,2008
Sindh,Khairpur,Khairpur-III,602640,256,181102,157690,338792,NA-217,77125,Pir Syed Fazal Ali Shah Jeelani,PPP,PPP,2008
Sindh,Sukkur and Shikarpur,Sukkur/Shikarpur(I) (Old Sukkur-I),491294,226,146571,117253,263824,NA-198,74086,Nauman Islam Shaikh.,PPP,PPP,2008
Sindh,Hyderabad,Hyderabad-II (Old Hyderabad-III),580519,247,197636,168221,365857,NA-220,147040,Salahuddin,MQM,MQM,2008
Sindh,Karachi,Karachi-IV,594760.14,197,176875,120439,297314,NA-242,147892,Dr. Abdul Qadir Khanzada,MQM,MQM,2008
Sindh,Karachi,Karachi-I,548839.98,180,199448,110883,310331,NA-239,56840,Abdul Qadir Patel,PPP,PPP,2008
Sindh,Larkana,Larkana (Old Larkana I),580118,274,220504,182763,403267,NA-204,81439,Mr. Shahid Hussain Bhutto,PPP,PPP,2008
FATA,Khyber Agency,Tribal Area-X,304838.82,77,73278,27378,100656,NA-45,13876,Noor Ul Haq Qadri,IND,IND,2008
NWFP,Dera Ismail Khan and Tank,D.I.Khan/Tank,634544,257,189209,135187,324396,NA-25,44673,Atta ur Rehman,MMA,MMA,2008
FATA,Bajaur Agency,Tribal Area-VIII,352324.44,57,75319,43769,119088,NA-43,7428,Shaukatullah Khan,IND,IND,2008
Sindh,Mirpurkhas,Mirpurkhas/Umerkot(I) (Old Mirpurkhas-I),622719.63,217,201924,154138,356062,NA-226,78543,Pir Aftab Hussain Shah Jillani,PPP,PPP,2008
Sindh,Karachi,Karachi-III,579028.32,170,167479,100526,268005,NA-241,93617,S.A.Iqbal Qadri,MQM,MQM,2008
Sindh,Hyderabad,Hyderabad/Matiari (Old Hyderabad-IV),473091,210,183088,144306,327394,NA-221,102737,Syed Ameer Ali Shah Jamot,PPP,PPP,2008
Sindh,Sukkur and Shikarpur,Sukkur/Shikarpur(II) (Old Sukkur-II),571502.88,242,148670,114184,262854,NA-199,93394,Syed Khursheed Ahmed Shah,PPP,PPP,2008
NWFP,Kohat,Kohat,658293,318,=59*R42/100,=R42-P42,357556,NA-14,30681,Pir Dilawar Shah,ANP,ANP,2008
FATA,Kurram Agency,Tribal Area-III,239239.26,98,59902,28894,88796,NA-38,16525,Munir Khan Orakzai,IND,IND,2008
Sindh,Larkana,Larkana-II,545373,200,138368,105254,243622,NA-207,1,Mrs.Faryal Talpur,PPP,PPP,2008
FATA,Bajaur Agency,Tribal Area-IX,344091.15,68,86565,49407,135972,NA-44,6257,Syed Akhun Zada Chittan,IND,IND,2008
FATA,Orakzai Agency,Tribal Area-IV,263765.97,111,88569,34766,123335,NA-39,21844,Jawad Hussain,IND,IND,2008
Sindh,Larkana and Kambar Shahdadkot,Larkana/Kamber Shahdadkot (Old Larkana II),577165,235,150781,128487,279268,NA-205,72928,Nazir Ahmed Bughio,PPP,PPP,2008
FATA,Mohmand Agency,Tribal Area-I,391310.01,83,100741,25556,126297,NA-36,5270,Bilal Rehman,IND,IND,2008
Sindh,Thatta,Thatta-II,619412.04,274,211628,153157,364785,NA-238,76812,Syed Ayaz Ali Shah Sheerazi,PML,PML-Q,2008
FATA,North Waziristan,Tribal Area-V,422657.82,56,89801,36680,126481,NA-40,5894,Muhammad Kamran Khan,IND,IND,2008
NWFP,Charsadda,Charsadda-I,616768,225,160455,113292,273747,NA-7,57234,Asfandyar Wali Khan,ANP,ANP,2008
NWFP,Batagram,Battagram,359515,120,97299,54663,151962,NA-22,22316,Muhammad Nawaz Khan,PML,PML-Q,2008
Sindh,Badin,Badin/Tando Muhammad Khan-II,737629,263,176167,109328,285495,NA-225,88983,Dr. Fahmida Mirza,PPP,PPP,2008
FATA,Kurram Agency,Tribal Area-II,285283.44,123,78574,63443,142017,NA-37,26287,Sajid Hussain Turi,IND,IND,2008
NWFP,Laki Marwat,Lakki Marwat,573329,213,158444,107155,265599,NA-27,61303,Hamayun Saifullah Khan,PML,PML-Q,2008
NWFP,Abbottabad,Abbottabad-I,510223,242,170374,143963,314337,NA-17,58041,Sardar Mehtab Ahmed Khan,PMLN,PMLN,2008
NWFP,Nowshera,Nowshera-I,513759,191,149855,111012,260867,NA-5,31907,Engineer Muhammad Tariq Khattak,PPP,PPP,2008
NWFP,Hangu,Hangu,367999,148,105701,81530,187231,NA-16,22180,Syed Haider Ali Shah,ANP,ANP,2008
Sindh,Naushahro Feroze,Naushahro Feroze-II,651416,312,179958,196665,376623,NA-212,98999,Syed Zaffar Ali Shah,PPP,PPP,2008
Sindh,Dadu,Dadu-II (Old Dadu-III),668494,289,225705,474044,699749,NA-233,83493,Dr. Talat Mahesar,PPP,PPP,2008
Sindh,Nawabshah,Nawabshah-I,649205,300,195521,153980,349501,NA-213,108404,Dr. Azra Fazal Pecheho,PPP,PPP,2008
NWFP,Shangla,Shangla,508439,179,157290,106291,263581,NA-31,26928,Engineer Amir Muqam,PML,PML-Q,2008
NWFP,Peshawar,Peshawar-II,578108,194,191541,119581,311122,NA-2,34443,Dr. Arbab Alamgir Khan,PPP,PPP,2008
NWFP,Charsadda,Charsadda-II,579398,226,150458,96574,247032,NA-8,30626,Aftab Ahmad Khan Sherpao,PPP-S,PPP-S,2008
NWFP,Peshawar,Peshawar-1,570827,222,227402,152045,379447,NA-1,44210,Haji Ghulam Ahmad Bilour,ANP,ANP,2008
NWFP,Haripur,Haripur,809907,397,258938,224759,483697,NA-19,98670,Sardar Muhammad Mushtaq Khan,PMLN,PMLN,2008
NWFP,Manshera,Mansehra-I,649215,253,252663,182582,435245,NA-20,73644,Sardar Shahjahan Yousaf,PML,PML-Q,2008
NWFP,Manshera,Mansehra-II,699606,289,256365,168965,425330,NA-21,51482,Faiz Muhammad Khan,PMLN,PMLN,2008
NWFP,Mardan,Mardan-I,580496,214,159347,102558,261905,NA-9,31075,Nawabzada Khawaja Muhammad Khan,ANP,ANP,2008
NWFP,Peshawar,Peshawar-III,611382,217,172059,86210,258269,NA-3,27038,Noor Alam Khan,PPP,PPP,2008
NWFP,Mardan,Mardan-II,567312,223,152314,103683,255997,NA-10,29279,Maulana Mohammad Qasim,MMA,MMA,2008
NWFP,Swat,Swat-I,779351,276,267716,144198,411914,NA-29,19860,Muzafer ul Mulk,ANP,ANP,2008
NWFP,Malakand,Malakand Protected Area,529180.47,225,137774,94412,232186,NA-35,34472,Lal Muhammad Khan,PPP,PPP,2008
NWFP,Buner,Buner,592076,267,165558,124975,290533,NA-28,21801,Abdul Matin Khan,ANP,ANP,2008
NWFP,Swabi,Swabi-I,601710,248,174286,109426,283712,NA-12,49872,Engineer Usman Khan Tarkai,IND,IND,2008
NWFP,Peshawar,Peshawar-IV,611099,199,176633,91125,267758,NA-4,31598,Arbab Muhammad Zahir Khan,ANP,ANP,2008
NWFP,Nowshera,Nowshera-II,509258,173,137421,102654,240075,NA-6,36835,Masood Abbas Khattak,ANP,ANP,2008
NWFP,Swabi,Swabi-II,599651,251,171362,116584,287946,NA-13,26603,Perviz Khan Advocate,ANP,ANP,2008
NWFP,Upper Dir and Part of Lower Dir,Upper Dir/Lower Dir (Old Upper Dir),673753.86,242,178881,89055,267936,NA-33,27594,Najmuddin Khan,PPP,PPP,2008
NWFP,Mardan,Mardan-III,560510,214,157225,99254,256479,NA-11,49060,Abdul Akbar Khan,PPP,PPP,2008
NWFP,Lower Dir,Lower Dir,839649.33,259,225743,145280,371023,NA-34,38068,Malak Azmat Khan,PPP,PPP,2008
NWFP,Abbottabad,Abbottabad-II,520156,248,182584,157064,339648,NA-18,72586,Murtaza Javed Abbasi,PMLN,PMLN,2008
Balochistan,Pishin and Ziarat,Pishin/Ziarat,468611.91,250,143216,139992,283208,NA-261,30611,Molvi Agha Muhammad,MMA,MMA,2008
Balochistan,Kech and Gwadar,Kech/Gwadar,700481,249,147801,160165,307966,NA-272,61655,Yaqoob Bizenjo,BNP,BNP,2008
Balochistan,Khuzdar,Khuzdar,537466,206,98858,78156,177014,NA-269,17609,Muhammad Usman Advocate,IND,IND,2008
Balochistan,Awaran and Lasbela,Awaran/Lasbela,550868,381,146256,111218,257474,NA-270,50476,Jam Mir Muhammad Yousuf,PML,PML-Q,2008
Balochistan,"Loralai, Musa Khel and Barkhan",Loralai/Musakhel/Barkhan (Old Loralai),626132.52,281,119396,103556,222952,NA-263,52818,Sardar Muhammad Israr Tareen,PML,PML-Q,2008
Balochistan,"Kharan, Washuk and Panjgur",Kharan/Washuk/Panjgur (Old Kharan-Panjgur),515923.2,219,100556,102523,203079,NA-271,22856,Ehsanullah Reki,PML,PML-Q,2008
Balochistan,"Zhob, Sherani and Killa Saifullah",Zhob/Sherani/Killa Saifullah (Old Zhob/Killa Saifullah),548373.15,210,133149,89113,222262,NA-264,24204,Maulvi Asmatullah,IND,IND,2008
Balochistan,Kialla Abdullah,Killa Abdullah,433214.73,200,196198,190010,386208,NA-262,45590,Haji Rozuddin,MMA,MMA,2008
Balochistan,Quetta,Quetta,557796.33,278,209824,145786,355610,NA-259,24936,Syed Nasir Ali Shah Alias Syed Abbas,PPP,PPP,2008
Balochistan,"Quetta, Nushki and Chagai",Quetta/Chagai/Nushki (Old Quetta/Chagai/Mustung),568334.52,364,237443,158547,395990,NA-260,40773,Sardar Al-Haj Mohammad Umar Gorgage,PPP,PPP,2008
Balochistan,"Sibi, Kohlu, Dera Bugti and Hernai",Sibi/Kohlu/Dera Bugti/Hernai (Old Sibi/Kohlu/Dera Bugti),540018.18,219,171516,110435,281951,NA-265,56715,Mir Ahmadan Khan Bugti,PML,PML-Q,2008
Balochistan,Bolan and Jhal Magsi,Bolan/Jhal Magsi (Old Kachhi),465656,166,125485,118335,243820,NA-267,61249,Mir Hamayun Aziz Kurd,IND,IND,2008
Balochistan,Nasirabad and Jaffarabad,Nasirabad/Jaffarabad (Old Nasirabad),794091.87,387,331819,316373,648192,NA-266,76556,Taj Muhammad Jamali,PPP,PPP,2008
Balochistan,Kalat and Mastung,Kalat/Mastung.,470900.43,163,119679,91828,211507,NA-268,19355,Dr. Ayatullah Durrani,PPP,PPP,2008
Federal Capital Territory,Islamabad,Islamabad-II,4713154,197,131766,110361,242127,NA-49,45482,Dr.Tariq Fazal Chaudhry,PMLN,PMLN,2008
Federal Capital Territory,Islamabad,Islamabad-I,468971,185,129208,110337,239545,NA-48,61480,Anjum Aqeel Khan,PMLN,PMLN,2008
Punjab,Attock,Attock-II,496142.01,281,192001,167057,359058,NA-58,85244,Malik Ihtebar Khan,PMLN,PMLN,2013
Punjab,Mianwali,Mianwali-II,638479.53,307,204680,166694,371374,NA-72,126088,Amjid Ali Khan,PTI,PTI,2013
Punjab,Rawalpindi,Rawalpindi-VI,570886.29,249,177943,146079,324022,NA-55,88627,Sheikh Rashid Ahmed,AMLP,AMLP,2013
Punjab,Lahore,Lahore-I,556480.08,261,191121,=137937+5198,334256,NA-118,103346,Muhammad Riaz Malik,PMLN,PMLN,2013
Punjab,Attock,Attock-I,531584.82,249,193217,160534,353751,NA-57,59920,Sheikh Aftab Ahmed,PMLN,PMLN,2013
Punjab,Mandi Bhauddin,Mandi Bahauddin-II,653318.64,259,229642,154995,384637,NA-109,135501,Nasar Iqbal Bosal,PMLN,PMLN,2013
Punjab,Sargodha,Sargodha-I,633545.64,340,235630,179861,415491,NA-64,151690,Pir Muhammad Amin Ul Hasnat,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-X,547513.2,265,173934,134966,308900,NA-84,103268,Abid Ali,PMLN,PMLN,2013
Punjab,Multan,Multan-VI,578463.21,276,182573,167141,349714,NA-153,94413,Dewan Ashiq Hussain Bukhari,PMLN,PMLN,2013
Punjab,Kasur,Kasur-IV,574599.87,282,175210,134367,309577,NA-141,96737,Rana Muhammad Ishaq Khan,PMLN,PMLN,2013
Punjab,Gujrat,Gujrat-IV,544404.51,281,220059,=180477+86,400622,NA-107,94196,Ch Abid Raza,PMLN,PMLN,2013
Punjab,Sargodha,Sargodha-V,627659.37,320,211238,=161925+69,373232,NA-68,140828,Muhammad Nawaz Sharif,PMLN,PMLN,2013
Punjab,Hafizabad,Hafizabad-I,492716.25,240,162191,122226,284417,NA-102,93691,Saira Afzal Tarar,PMLN,PMLN,2013
Punjab,Sialkot,Sialkot-I,578955.78,227,191888,150237,342125,NA-110,92848,Khawaja Muhammad Asif,PMLN,PMLN,2013
Punjab,Rajanpur,Rajanpur-II,731281.59,259,199255,155929,355184,NA-175,110573,Doctor Hafeez Ur Rehman Khan Drishak,PMLN,PMLN,2013
Punjab,Gujranwala,Gujranwala-V,578545.11,231,185010,133019,318029,NA-99,97143,Rana Umer Nazir Khan,PMLN,PMLN,2013
Punjab,Mianwali,Mianwali-I,597765.87,297,121118,103264,224382,NA-71,133224,Imran Khan,PTI,PTI,2013
Punjab,Sahiwal,Sahiwal-III,547709.76,293,174278,132081,306359,NA-162,88974,Rai Hasan Nawaz Khan,PTI,PTI,2013
Punjab,Rawalpindi,Rawalpindi –V,543273.12,231,=160733-203,140286,300816,NA-54,76336,Malik Ibrar Ahmed,PMLN,PMLN,2013
Punjab,Attock,Attock-III,463947.12,259,169942,=139428+36,309334,NA-59,60850,Muhammad Zain Ellahi,IND,IND,2013
Punjab,Muzaffargarh,Muzaffargarh-I,612781.65,305,186848,151389,338237,NA-176,88322,Malik Sultan Mehmood,PMLN,PMLN,2013
Punjab,Lahore,Lahore-XII,471077.1,223,165785,=6422+101552,273759,NA-129,94007,Mian Muhammad Shehbaz Sharif,PMLN,PMLN,2013
Punjab,Muzaffargarh,Muzaffargarh-III,618170.67,300,187678,161968,349646,NA-178,79417,Jamshed Ahmad Dasti,IND,IND,2013
Punjab,Lahore,Lahore-IX,626760.81,267,188696,=163750+7046,359492,NA-126,97933,Shafqat Mehmood,PTI,PTI,2013
Punjab,Pakpattan,Pakpattan-III,508204.71,228,154022,=9296128758,292076,NA-166,87209,Rana Zahid Hussain Khan,PMLN,PMLN,2013
Punjab,Layyah,Layyah-II,691519.14,307,211809,176524,388333,NA-182,85292,Syed Muhammad Saqlain Bukhari,PMLN,PMLN,2013
Punjab,Chakwal,Chakwal-II,608793.12,373,234520,=204104+5053,443677,NA-61,114282,Sardar Mumtaz Khan,PMLN,PMLN,2013
Punjab,Rahimyar Khan,Rahimyar Khan-VI,633298.77,249,185825,=133608+9544,328977,NA-197,80944,Muhammad Arshad Khan Laghari,PMLN,PMLN,2013
Punjab,Bhakkar,Bhakkar-I,592633.08,304,189252,147513,336765,NA-73,97688,Abdul Majeed Khan,PMLN,PMLN,2013
Punjab,Sialkot,Sialkot-V,615959.37,300,226114,155382,381496,NA-114,131607,Zahid Hamid,PMLN,PMLN,2013
Punjab,Gujrat,Gujrat-III,676946.79,324,=233268-1417,181714,413565,NA-106,83024,Ch Jaffar Iqbal,PMLN,PMLN,2013
Punjab,Narowal,Narowal-II,509871.96,229,=161575-122,110452,271905,NA-116,91545,Daniyal Aziz,PMLN,PMLN,2013
Punjab,Dera Ghazi Khan,Dera Ghazi Khan-II,621602.28,280,193971,=149110+2893,345974,NA-172,49230,Hafiz Abdul Kareem,PMLN,PMLN,2013
Punjab,Muzaffargarh,Muzaffargarh-II,627324.75,306,189486,167527,357013,NA-177,103327,Jamshed Ahmad Dasti,IND,IND,2013
Punjab,Narowal,Narowal-I,483845.31,199,=144936-700,103299,247535,NA-115,71139,Mian Muhammad Rasheed,PMLN,PMLN,2013
Punjab,Khanewal,Khanewal-II,617039.28,283,190862,143633,334495,NA-157,96162,Muhammad Khan Daha,PMLN,PMLN,2013
Punjab,Lahore,Lahore-V,624720.33,290,180814,=147121-1907,326028,NA-122,93389,Sardar Ayaz Sadiq,PMLN,PMLN,2013
Punjab,Sahiwal,Sahiwal-IV,521215.11,265,156369,119822,276191,NA-163,89126,Chaudhry Muhammad Munir Azhar,PMLN,PMLN,2013
Punjab,Rawalpindi,Rawalpindi-I,573167.79,401,=239711-900,203647,442458,NA-50,134439,Shahid Khaqan Abbassi,PMLN,PMLN,2013
Punjab,Sialkot,Sialkot-IV,703083.42,267,209904,144837,354741,NA-113,118192,Syed Iftikhar Ul Hassan,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-IV,596199.24,322,171934,130039,301973,NA-78,88162,Rajab Ali Khan Baloch,PMLN,PMLN,2013
Punjab,Dera Ghazi Khan,Dera Ghazi Khan-I,632159.19,321,197359,150430,347789,NA-171,62849,Sardar Muhammad Amjad,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-VIII,601404.57,292,192788,150846,343634,NA-82,126426,Rana Muhammad Afzal Khan,PMLN,PMLN,2013
Punjab,Gujrat,Gujrat-I,583041.42,292,211179,=R312-P312,374975,NA-104,85113,Nawabzada Mazher Ali,PMLN,PMLN,2013
Punjab,Jhelum,Jhelum-I,538419.96,320,234520,=204104+5053,389451,NA-62,102230,Chaudhry Khadim Hussain,PMLN,PMLN,2013
Punjab,Bahawal Nagar,Bahawalnagar-II,585601.38,242,=179538-121,129805,309222,NA-189,95060,Alam Dad Laleka,PMLN,PMLN,2013
Punjab,Narowal,Narowal-III,486446.22,205,158542,114350,272892,NA-117,95481,Ahsan Iqbal,PMLN,PMLN,2013
Punjab,Lahore,Lahore-VI,577912.14,261,194696,=137796+15449,347941,NA-123,126878,Muhammad Pervaiz Malik,PMLN,PMLN,2013
Punjab,Khanewal,Khanewal-IV,415154.61,266,181950,139035,320985,NA-159,116903,Chaudhry Iftikhar Nazir,PMLN,PMLN,2013
Punjab,Bahawal Nagar,Bahawalnagar-IV,614362.32,284,190678,136294,326972,NA-191,79306,Muhammad Ijaz Ul Haq,PML-Z,PML-Z,2013
Punjab,Kasur,Kasur-V,555112.35,249,162229,116107,278336,NA-142,85243,Rana Muhammad Hayat Khan,PMLN,PMLN,2013
Punjab,Jhang,Jhang-I,549106.74,262,162263,127054,289317,NA-86,77908,Qaiser Ahmad Sheikh,PMLN,PMLN,2013
Punjab,Multan,Multan-V,623877.93,239,177320,155601,332921,NA-152,81015,Syed Javed Ali Shah,PMLN,PMLN,2013
