province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,year
Sindh,Mirpurkhas,Mirpurkhas-Umerkot(I) (Old Mirpurkhas-I),642666.96,274,176712,152925,329640,NA-226,82017,Pir Shafqat Hussain Shah Jilani,PPP,PPP,2013
Sindh,Karachi,Karachi-III,579028.32,218,191747,121114,312861,NA-241,95584,Syed Akhter Ul Iqbal Qadri,MQM,MQM,2013
Sindh,Hyderabad,Hyderabad-Matiari (Old Hyderabad-IV),457693.47,206,143883,125183,269066,NA-221,59821,Syed Amir Ali Shah Jamote,PPP,PPP,2013
Sindh,Sukkur and Shikarpur,Sukkur Shikarpur(II) (Old Sukkur-II),571502.88,237,154498,=118915+70,273483,NA-199,85120,Syed Khursheed Ahmed Shah,PPP,PPP,2013
NWFP,Kohat,Kohat,658293.48,373,233538,=175837+400,409775,NA-14,68129,Shehryar Afridi,PTI,PTI,2013
FATA,Kurram Agency,Tribal Area-III,239239.26,102,61127,41814,0,NA-38,0,,,,2013
FATA,Kurram Agency,Tribal Area-III,239239.26,102,61127,41814,0,NA-38,0,Election Postponed in the Constituency due to Law and Order Situation in the Area,,,2013
FATA,Kurram Agency,Tribal Area-III,239239.26,102,61127,41814,0,NA-38,0,,,,2013
Sindh,Larkana,Larkana-II,545373.27,248,148260,134559,282819,NA-207,83918,Faryal Talpur,PPP,PPP,2013
FATA,Bajaur Agency,Tribal Area-IX,344091.15,119,118828,=R132-P132,185040,NA-44,15114,Shahab Ud Din Khan,PMLN,PMLN,2013
FATA,Orakzai Agency,Tribal Area-IV,263765.97,102,76013,49674,125687,NA-39,7922,Syed Ghazi Gulab Jamal,IND,IND,2013
Sindh,Larkana and Kambar Shahdadkot,Larkana-Kamber Shahdadkot (Old Larkana II),563268.42,235,135968,116746,252714,NA-205,65720,Nazir Ahmed Bughio,PPP,PPP,2013
FATA,Mohmand Agency,Tribal Area-I,391310.01,107,119224,=60025+55,179304,NA-36,9005,Bilal Rehman,IND,IND,2013
Sindh,Thatta,Thatta-II,619412.04,287,166685,139047,305732,NA-238,88954,Syed Ayaz Ali Shah Sheerazi,IND,IND,2013
FATA,North Waziristan,Tribal Area-V,422657.82,65,148963,11703,160666,NA-40,18055,Muhammad Nazir Khan,IND,IND,2013
FATA,North Waziristan,Tribal Area-V,422657.82,65,148963,11703,160666,NA-40,18055,Muhammad Nazir Khan,IND,IND,2013
FATA,North Waziristan,Tribal Area-V,422657.82,65,148963,11703,160666,NA-40,18055,Muhammad Nazir Khan,IND,IND,2013
NWFP,Charsadda,Charsadda-I,616767.84,256,212607,163537,376144,NA-7,53610,Maulana Muhammad Gohar Shah,JUI-F,JUI-F,2013
NWFP,Batagram,Battagram,359515.26,143,117917,87062,204979,NA-22,18314,Qari Mohammad Yousif,JUI-F,JUI-F,2013
Sindh,Badin,Badin-Tando Muhammad Khan-II,737628.84,292,172144,147928,320072,NA-225,110738,Dr Fehmida Mirza,PPP,PPP,2013
FATA,Kurram Agency,Tribal Area-II,285283.44,140,96125,=66496+39,162660,NA-37,29623,Mr. Sajid Hussain Turi,IND,IND,2013
NWFP,Laki Marwat,Lakki Marwat,573329.25,254,186842,=143428+651,330921,NA-27,85051,Maulana Fazal Ur Rehman,JUI-F,JUI-F,2013
NWFP,Abbottabad,Abbottabad-I,510222.96,292,189776,=7+148490,338273,NA-17,96549,Dr. Muhammad Azhar Khan Jadoon,PTI,PTI,2013
NWFP,Nowshera,Nowshera-I,513758.7,236,180206,140469,320675,NA-5,70053,Pervez Khattak,PTI,PTI,2013
NWFP,Hangu,Hangu,367998.93,159,126444,88259,214703,NA-16,24067,Khial Zaman,PTI,PTI,2013
Sindh,Naushahro Feroze,Naushahro Feroze-II,651416.22,256,169322,142884,312206,NA-212,93884,Asghar Ali Shah,PPP,PPP,2013
Sindh,Dadu,Dadu-II (Old Dadu-III),668493.54,303,164359,145716,310078,NA-233,110292,Mr. Imran Zafar Leghari,PPP,PPP,2013
Sindh,Nawabshah,Nawabshah-I,649204.92,333,200730,173695,374425,NA-213,113199,Dr Azra Fazal Pechuho,PPP,PPP,2013
NWFP,Shangla,Shangla,508438.71,193,163413,133310,296723,NA-31,30916,Ibadullah,PMLN,PMLN,2013
NWFP,Peshawar,Peshawar-II,578107.53,216,191680,144442,336122,NA-2,79125,Hamid Ul Haq,PTI,PTI,2013
NWFP,Charsadda,Charsadda-II,579398.04,243,193067,134356,327423,NA-8,37044,Aftab Ahmad Khan Sherpao,QWP,QWP,2013
NWFP,Peshawar,Peshawar-1,570826.62,225,186897,133681,320578,NA-1,90500,Imran Khan,PTI,PTI,2013
NWFP,Haripur,Haripur,809906.76,437,296098,235767,531865,NA-19,117612,Raja Aamer Zaman,PTI,PTI,2013
NWFP,Manshera,Mansehra-I,649215.45,311,236683,178508,415191,NA-20,106467,Sardar Muhammad Yousaf,PMLN,PMLN,2013
NWFP,Manshera,Mansehra-II,699606.18,328,222572,=169786+6,392364,NA-21,91013,Capt R Muhammad Safdar,PMLN,PMLN,2013
NWFP,Mardan,Mardan-I,580495.5,238,197011,=139146+20,336177,NA-9,44769,Amir Haider Khan,ANP,ANP,2013
NWFP,Peshawar,Peshawar-III,611382.33,279,218900,=164313+873,384086,NA-3,66528,Sajid Nawaz,PTI,PTI,2013
NWFP,Mardan,Mardan-II,567311.94,263,190195,=131425+40,321660,NA-10,46531,Ali Muhammad Khan,PTI,PTI,2013
NWFP,Swat,Swat-I,779351.04,321,288598,232474,521072,NA-29,88513,Murad Saeed,PTI,PTI,2013
NWFP,Malakand,Malakand Protected Area,529180.47,265,177359,133813,311172,NA-35,51312,Junaid Akbar,PTI,PTI,2013
NWFP,Buner,Buner,592076.16,291,195112,164907,360019,NA-28,29170,Sher Akbar Khan,JI,JI,2013
NWFP,Swabi,Swabi-I,601709.94,273,200516,151159,351675,NA-12,56680,Engineer Usman Khan Tarrakai,AJIP,AJIP,2013
NWFP,Peshawar,Peshawar-IV,611099.19,250,208300,144116,352416,NA-4,55134,Gulzar Khan,PTI,PTI,2013
NWFP,Nowshera,Nowshera-II,509257.71,207,167106,132167,299273,NA-6,54266,Siraj Muhammad Khan,PTI,PTI,2013
NWFP,Swabi,Swabi-II,599650.74,283,209360,153419,362779,NA-13,48576,Asad Qaisar,PTI,PTI,2013
NWFP,Upper Dir and Part of Lower Dir,Upper Dir-Lower Dir (Old Upper Dir),673753.86,293,229125,138910,368035,NA-33,42582,Sahibzada Tariq Ullah,JI,JI,2013
NWFP,Mardan,Mardan-III,560509.56,251,190136,=139136+13,329285,NA-11,38233,Mujahid Ali,PTI,PTI,2013
NWFP,Lower Dir,Lower Dir,839649.33,308,298128,206566,504694,NA-34,49475,Shahib Zada Muhammad Yaqub,JI,JI,2013
NWFP,Abbottabad,Abbottabad-II,520156.26,304,191884,145040,336924,NA-18,69839,Murtaza Javed Abbasi,PMLN,PMLN,2013
Balochistan,Pishin and Ziarat,Pishin-Ziarat,468611.91,269,136499,=R783-P783,248179,NA-261,48712,Moulvi Agha Muhammad,JUI-F,JUI-F,2013
Balochistan,Kech and Gwadar,Kech-Gwadar,700481.34,194,0,0,267667,NA-272,15835,Syed Essa Nori,BNP,BNP,2013
Balochistan,Khuzdar,Khuzdar,488435.22,118,0,0,165632,NA-269,26028,Maulana Qamar Ud Din,JUI-F,JUI-F,2013
Balochistan,Awaran and Lasbela,Awaran-Lasbela,504115.56,196,0,0,238664,NA-270,56658,Jam Kamal Khan,IND,IND,2013
Balochistan,"Loralai, Musa Khel and Barkhan",Loralai-Musakhel-Barkhan (Old Loralai),626132.52,299,121703,92619,214322,NA-263,31031,Maulana Ameer Zaman,JUI-F,JUI-F,2013
Balochistan,"Kharan, Washuk and Panjgur",Kharan-Washuk-Panjgur (Old Kharan-Panjgur),515923.2,177,85648,72516,158164,NA-271,7388,Lt Gen R Abdul Qadir Baloch,PMLN,PMLN,2013
Balochistan,"Zhob, Sherani and Killa Saifullah",Zhob-Sherani-Killa Saifullah (Old Zhob-Killa Saifullah),548373.15,177,0,0,215250,NA-264,30870,Maulana Mohammad Khan Sherani,JUI-F,JUI-F,2013
Balochistan,Kialla Abdullah,Killa Abdullah,433214.73,226,0,0,185836,NA-262,38594,Abdul Qadir Khan Wadan,PMAP,PMAP,2013
Balochistan,Quetta,Quetta,557796.33,270,154379,109914,264293,NA-259,38552,Mehmood Khan Achakzai,PMAP,PMAP,2013
Balochistan,"Quetta, Nushki and Chagai",Quetta-Chagai-Nushki (Old Quetta-Chagai-Mustung),568334.52,371,244982,184812,429794,NA-260,30338,Abdul Rahim Mandokhel,PMAP,PMAP,2013
Balochistan,"Sibi, Kohlu, Dera Bugti and Hernai",Sibi-Kohlu-Dera Bugti-Hernai (Old Sibi-Kohlu-Dera Bugti),540018.18,180,0,0,211471,NA-265,22874,Mir Dostain Khan Domki,IND,IND,2013
Balochistan,Bolan and Jhal Magsi,Bolan-Jhal Magsi (Old Kachhi),465656.49,78,0,0,147595,NA-267,42240,Khalid Hussain Magsi,IND,IND,2013
Balochistan,Nasirabad and Jaffarabad,Nasirabad-Jaffarabad (Old Nasirabad),794091.87,235,0,0,409664,NA-266,41604,Zafarullah Khan Jamali,IND,IND,2013
Balochistan,Kalat and Mastung,Kalat-Mastung.,470900.43,84,0,0,183932,NA-268,19873,Sardar Kamal Khan Bangulzai,NP,NP,2013
Federal Capital Territory,Islamabad,Islamabad-II,473153.85,288,183930,150311,334241,NA-49,94106,Dr. Tariq Fazal Chudhary,PMLN,PMLN,2013
Federal Capital Territory,Islamabad,Islamabad-I,468971.1,260,92944,81287,174231,NA-48,73878,Makhdoom Javed Hashmi,PTI,PTI,2013
Punjab,Gujranwala,Lahore,792786,297,230950,174633,405583,NA-123,97205,Muhammad Malik Riaz,PMLN,PMLN,2018
Punjab,Rawalpindi,Rawalpindi-VII,706780,317,195073,175894,370967,NA-63,102632,Ghulam Sarwer Khan,PTI,PTI,2018
Punjab,Sialkot,Sialkot-IV,823323,361,254085,199019,453104,NA-75,101769,Syed Iftikhar Ul Hassan,PMLN,PMLN,2018
Punjab,Gujranwala,Bhawalpur,750566,286,228407,176416,404823,NA-171,99306,Mian Riaz Hussain Pirzada,PMLN,PMLN,2018
Punjab,Gujranwala,Khushab -I,658748,352,226108,202628,428736,NA-93,100626,Malik Umer Aslam Awan,PTI,PTI,2018
Punjab,Narowal,Narowal-II,854759,377,291358,224891,516249,NA-78,160020,Ahsan Iqbal,PMLN,PMLN,2018
Khyber Pakhtunkhwa,Upper and Lower Chitral,Chitral,447362,294,151219,118360,269579,NA-1,49035,Maulana Abdul Akbar Chitrali,MMA,MMA,2018
Sindh,Gujranwala,Karachi West,785158,231,182524,120734,303258,NA-248,35076,Abdul Qadir Patel,PPP,PPP,2018
Sindh,Gujranwala,Karachi Central,755412,273,255753,204357,460110,NA-255,59781,Dr. Khalid Maqbool Siddiqui,MQM-P,MQM-P,2018
Sindh,Gujranwala,Karachi East,697365,229,239893,203647,443540,NA-245,56673,Amir Liaqat Hussain,PTI,PTI,2018
Khyber Pakhtunkhwa,Malakanad,Malakand Protected Area,720295,336,218057,168392,386449,NA-8,81788,Junaid Akbar,PTI,PTI,2018
Khyber Pakhtunkhwa,Peshawar,Peshwar-I,814036,254,196977,140352,337329,NA-27,71242,Noor Alam Khan,PTI,PTI,2018
Khyber Pakhtunkhwa,Swat,Sawat -III,791511,263,235149,173863,409012,NA-4,71663,Murad Saeed ,PTI,PTI,2018
Sindh,Gujranwala,Larkana,756285,336,182558,153581,336139,NA-200,84538,Bilawal Bhutto Zardari,PPP,PPP,2018
FATA,Orakzai Agency,Orakzai Agency-VIII,254356,161,94279,72927,167206,NA-47,11523,Jawad Hussain,PTI,PTI,2018
Khyber Pakhtunkhwa,Lower Dir,Lower Dir-II,714595,262,198085,132507,330592,NA-7,63071,Muhammad Bashir Khan,PTI,PTI,2018
Sindh,Gujranwala,Karachi East,734410,98,110111,73262,183373,NA-242,27502,Saif Ur Rehman,PTI,PTI,2018
Punjab,Gujranwala,Bhawalpur,692954,258,202278,165998,368276,NA-174,63976,Makhdoom Syed Sami Ul Hassan Gillani,PTI,PTI,2018
Punjab,Gujranwala,Bhawalpur,701223,269,216227,173710,389937,NA-173,86356,Mian Najeeb Ud Din Awaisi,PMLN,PMLN,2018
Khyber Pakhtunkhwa,Buner,Buner,897319,391,250303,195171,445474,NA-9,58317,Sher Akbar Khan,PTI,PTI,2018
Sindh,Gujranwala,Malir,660390,197,134857,98171,233028,NA-236,66641,Jam Abdul Karim Bijar,PPP,PPP,2018
Balochistan,Gujranwala,Chagai/Nushki/Kharan,560956,252,134678,99613,234291,NA-268,36147,Muhammad Hashim,BNP,BNP,2018
Balochistan,Gujranwala,Khuzdar,802207,269,132337,96210,228547,NA-269,53183,Mohammad Akhtar Mengal,BNP,BNP,2018
Balochistan,Gujranwala,Kech,909116,236,125995,96636,222631,NA-271,33462,Zubaida Jalal,BAP,BAP,2018
Punjab,Gujranwala,Kasur,898021,408,273466,203745,477211,NA-140,124644,Sardar Talib Hassan Nakai,PTI,PTI,2018
Punjab,Gujranwala,Shikhupura,919756,317,249024,187636,436660,NA-121,101684,Javed Latif,PMLN,PMLN,2018
Punjab,Gujranwala,Lahore,794917,226,174214,124533,298747,NA-136,88913,Malik Muhamad Afzal Khokhar,PMLN,PMLN,2018
Punjab,Rawalpindi,Rawalpindi-III,761981,299,188374,168825,357199,NA-59,89520,Ghulam Sarwar Khan,PTI,PTI,2018
Punjab,Gujranwala,Mainwali-I,807550,370,251363,214377,465740,NA-95,165518,Imran Ahmad Khan Niazi,PTI,PTI,2018
Punjab,Gujranwala,Vehari,729674,327,229763,178434,408197,NA-164,82213,Tahir Iqbal Chuadhry,PTI,PTI,2018
Punjab,Gujranwala,Chiniot,681827,319,212388,172989,385377,NA-99,81504,Ghulam Muhammad,PTI,PTI,2018
Punjab,Gujranwala,Khanewal,728718,340,230143,180748,410891,NA-153,106467,Chaudry Iftikhar Nazir,PMLN,PMLN,2018
Punjab,Gujranwala,Rahim Yar Khan,782370,265,209561,154005,363566,NA-178,93394,Syed Mustafa Mehmood,PPP,PPP,2018
Punjab,Gujranwala,Shikhupura,842144,287,218031,159323,377354,NA-120,99697,Rana Tanveer Hussain,PMLN,PMLN,2018
Punjab,Gujranwala,Sahiwal,852005,422,267412,213567,480979,NA-147,120924,Syed Imran Shah,PMLN,PMLN,2018
Punjab,Gujranwala,Lodhran,840275,353,257646,198378,456024,NA-160,125810,Abdul Rehman Khan Kanju,PMLN,PMLN,2018
Punjab,Gujranwala,Mandi Bahauddin-I,804012,351,281389,229079,510468,NA-85,100302,Haji Imtiaz Ahmad Chaudhry,PTI,PTI,2018
Sindh,Gujranwala,Malir,662409,158,141814,92802,234616,NA-238,29606,Syed Rafiullah,PPP,PPP,2018
Punjab,Gujranwala,Rahim Yar Khan,843794,310,245625,196906,442531,NA-179,110877,Jawaid Iqbal Waraich,PTI,PTI,2018
Punjab,Attock,Attock-I,960927,493,303770,268034,571804,NA-55,145832,Tahir Sadiq,PTI,PTI,2018
Punjab,Gujranwala,Vehari,753898,330,238501,185112,423613,NA-162,81977,Chaudhry Faqir Ahmad Arain,PMLN,PMLN,2018
Punjab,Gujranwala,Khanewal,705021,351,225655,175622,401277,NA-152,109257,Zahoor Hussain Qureshi,PTI,PTI,2018
Punjab,Gujranwala,Sahiwal,828815,427,276316,215704,492020,NA-148,129027,Chaudhry Muhammad Ashraf,PMLN,PMLN,2018
Punjab,Chakwal,Chakwal-II,74936,468,287048,265475,552523,NA-65,158477,pervaiz Elahi,PML,PML-Q,2018
Punjab,Gujranwala,Vehari,716240,301,215945,161557,377502,NA-163,70344,Syed Sajid Mehdi,PMLN,PMLN,2018
Punjab,Gujranwala,Bahawalnagar,715287,303,227137,175275,402412,NA-168,124447,Ehsan Ul Haq Bajwa,PMLN,PMLN,2018
Punjab,Gujranwala,Khushab -II,622551,323,212399,187395,399794,NA-94,94088,Malik Mohammad Ehsan Ullah Tiwana,PTI,PTI,2018
Punjab,Gujranwala,Faisalabad,778151,372,226687,194080,420767,NA-109,123095,Faiz Ullah Kamoka,PTI,PTI,2018
Punjab,Gujranwala,Dera Ghazi Khan,723159,272,186024,144935,330959,NA-189,78824,Khawja Sheraz Mehmood,PTI,PTI,2018
Punjab,Sialkot,Sialkot-III,774143,383,268538,207328,475866,NA-74,96712,Ali Zahid,PMLN,PMLN,2018
Punjab,Gujrat,Gujrat-III,677072,356,271688,223092,494780,NA-70,95415,Syed Faiz Ul Hassan,PTI,PTI,2018
Punjab,Gujranwala,Bahawalnagar,740811,283,206612,150383,356995,NA-166,102385,Muhammad Abdul Ghafar Wattoo,IND,IND,2018
Punjab,Attock,Attock-II,922629,576,335872,303065,638937,NA-56,164178,Tahir Sadiq,PTI,PTI,2018
Punjab,Gujranwala,Multan,756003,298,237478,198913,436391,NA-158,84479,Muhammad Ibrahim Khan,PTI,PTI,2018
Punjab,Gujranwala,Vehari,726974,297,219862,166719,386581,NA-165,99393,Aurangzeb Khan Khichi,PTI,PTI,2018
Punjab,Gujranwala,Rahim Yar Khan,768719,295,236599,172542,409141,NA-177,100804,Makhdum Khusro Bakhtyar,PTI,PTI,2018
Punjab,Gujranwala,Multan,807618,287,208008,177225,385233,NA-154,74283,Ahmed Hussain Deharr,PTI,PTI,2018
Punjab,Gujranwala,Rahim Yar Khan,834642,323,245206,184500,429706,NA-175,97347,Syed Mobeen Ahmed,PTI,PTI,2018
Punjab,Gujranwala,Dera Ghazi Khan,678715,253,183442,131827,315269,NA-190,72300,Muhammad Amjad Farooq Khan Khosa,IND,IND,2018
Punjab,Gujranwala,Lahore,805070,325,241474,201255,442729,NA-126,105824,Hammad Azhar,PTI,PTI,2018
Punjab,Rawalpindi,Rawalpindi-I,790632,490,311263,279110,590373,NA-57,136613,Sadaqat Ali Abbasi,PTI,PTI,2018
Punjab,Gujranwala,Gujranwala-I,830396,351,303401,238447,541848,NA-79,142646,Nisar Ahmad Cheema,PMLN,PMLN,2018
Punjab,Gujranwala,Lodhran,860345,335,252094,204833,456927,NA-161,122069,Mian Muhammad Shafiq,PTI,PTI,2018
Punjab,Gujrat,Gujrat-II,718100,381,254852,212526,467378,NA-69,122538,Perviaz Elahi,PML,PML-Q,2018
Punjab,Gujranwala,Bahawalnagar,768652,307,235013,175631,410644,NA-169,91818,Noor Ul Hassan Tanvir,PMLN,PMLN,2018
Punjab,Gujranwala,Lahore,818078,350,256197,227717,483914,NA-130,127590,Shafqat Mehmood,PTI,PTI,2018
Punjab,Gujranwala,Mandi Bahauddin-II,789280,350,290329,222081,512410,NA-86,147394,Nasir Iqbal Bosal,PMLN,PMLN,2018
Punjab,Gujranwala,Dera Ghazi Khan,739693,261,212277,168137,380414,NA-191,79932,Zartaj Gull,PTI,PTI,2018
Punjab,Gujranwala,Mainwali-II,738544,355,245513,205228,450741,NA-96,158191,Amjad Ali Khan,PTI,PTI,2018
Punjab,Gujranwala,Faisalabad,787067,360,257320,201948,459268,NA-101,147937,Chaudhry Muhammad Asim Nazeer,IND,IND,2018
Punjab,Gujranwala,Lahore,786096,353,268154,217470,485624,NA-125,123066,Waheed Alam Khan,PMLN,PMLN,2018
Punjab,Gujranwala,Ranjanpur,669154,203,168428,133783,302211,NA-194,73839,Sardar Nasrullah Khan Dreshak,PTI,PTI,2018
Punjab,Gujranwala,Layyah,803849,339,245480,203618,449098,NA-188,109854,Niaz Ahmed Jakhar,PTI,PTI,2018
Punjab,Gujranwala,Jhang,913490,387,271086,203945,475031,NA-116,91098,Muhammad Ameer Sultan,PTI,PTI,2018
Punjab,Gujranwala,Gujranwala-II,833310,277,228084,174710,402794,NA-80,108683,Chaudhry Mehmood Bashir Virk,PMLN,PMLN,2018
Punjab,Gujranwala,Khanewal,730076,331,214541,166064,380605,NA-150,101520,Syed Fakhar Imam,IND,IND,2018
Punjab,Sialkot,Sialkot-V,753686,376,261804,208022,469826,NA-76,133748,Rana Shamim Ahmed Khan,PMLN,PMLN,2018
Punjab,Gujranwala,Sargodha -V,714606,342,253624,209967,463591,NA-92,97266,Syed Javed Hasnain Shah,PMLN,PMLN,2018
Punjab,Sialkot,Sialkot-II,764508,381,265687,222706,488393,NA-73,117002,Khawaja Muhammad Asif,PMLN,PMLN,2018
Punjab,Gujranwala,Lahore,815592,181,140457,116024,256481,NA-135,64850,Malik Karamat Ali Khokhar,PTI,PTI,2018
Punjab,Gujranwala,Kasur,861992,410,271274,206191,477465,NA-139,122613,Rana Muhammad Ishaq Khan,PMLN,PMLN,2018
Punjab,Gujranwala,Jhang,957220,425,282267,210515,492782,NA-114,106147,Sahibzada Muhammad Mehboob Sultan,PTI,PTI,2018
Punjab,Gujranwala,Gujranwala-IV,867145,283,251812,189989,441801,NA-82,117535,Usman Ibrahim,PMLN,PMLN,2018
Punjab,Jhelum,Jhelum-I,676537,443,281136,260160,541296,NA-66,112725,Chaudhry Farrukh Altaf,PTI,PTI,2018
Punjab,Gujranwala,Jhang,873375,398,251183,206805,457988,NA-115,91714,Ghulam Bibi,PTI,PTI,2018
Punjab,Gujranwala,Muzaffargarh,722485,288,182362,144255,326617,NA-181,64154,Muhammad Shabir Qureshi,IND,IND,2018
Punjab,Rawalpindi,Rawalpindi-IV,788342,329,189464,167471,357768,NA-60,44483,Sheikh Rashid Shafique,PTI,PTI,2018
Punjab,Gujrat,Gujrat-IV,699554,359,265325,232175,497500,NA-71,88951,Abid Raza Kotla,PMLN,PMLN,2018
Punjab,Gujranwala,Bhakkar,819783,362,242272,195313,437585,NA-97,121109,Muhammad Sana Ullah Khan Masti Khel,IND,IND,2018
Punjab,Gujrat,Gujrat-I,661384,359,250249,203741,453990,NA-68,104907,Hussain Elahi,PML-Q,PML-Q,2018
Punjab,Gujranwala,Sahiwal,852005,443,278809,218522,497331,NA-149,140338,Rai Muhammad Murtaza Iqbal,PTI,PTI,2018
Punjab,Gujranwala,Khanewal,758171,353,226913,178033,404946,NA-151,111325,Muhammad Khan Daha,PMLN,PMLN,2018
Punjab,Gujranwala,Multan,816077,360,260780,225030,485810,NA-155,135872,Malik Mohammad Amir Dogar,PTI,PTI,2018
Punjab,Gujranwala,Lahore,801410,415,299681,233816,533497,NA-124,146306,Hamza Shahbaz,PMLN,PMLN,2018
Punjab,Gujranwala,Muzaffargarh,708950,295,182018,152635,334653,NA-182,53094,Mehar Irshad Ahmed,PPP,PPP,2018
Punjab,Gujranwala,Kasur,865491,362,262842,202589,465431,NA-137,121226,Saad Waseem Akhtar,PMLN,PMLN,2018
Punjab,Narowal,Narowal-I,854998,385,292907,215088,507995,NA-77,106592,Mehnaz Aziz,PMLN,PMLN,2018
Punjab,Rawalpindi,Rawalpindi-V,818187,299,193240,174542,367782,NA-61,105086,Aamer Mehmood Kiyani,PTI,PTI,2018
Punjab,Gujranwala,Toba Tek Singh,752107,409,245530,193312,438842,NA-113,129506,Riaz Fatyana,PTI,PTI,2018
Punjab,Gujranwala,Okara,751588,309,243716,189500,433216,NA-143,143022,Rao Muhammad Ajmal Khan,PMLN,PMLN,2018
Punjab,Gujranwala,Lahore,798185,250,202760,168916,371676,NA-133,89699,Muhammad Pervaiz Malik,PMLN,PMLN,2018
